key,value,date
2 Yr M.Sc,0,15
2 Yr M.Sc,0,16
2 Yr M.Sc,0,17
2 Yr M.Sc,2,18
2 Yr M.Sc,18,19
2 Yr M.Sc,94,20
2 Yr M.Sc,174,21
2 Yr M.Sc,94,22
2 Yr M.Sc,32,23
2 Yr M.Sc,17,24
2 Yr M.Sc,7,25
2 Yr M.Sc,4,26
2 Yr M.Sc,2,27
2 Yr M.Sc,3,28
2 Yr M.Sc,1,29
2 Yr M.Sc,1,30
2 Yr M.Sc,1,31
2 Yr M.Sc,1,32
2 Yr M.Sc,0,33
2 Yr M.Sc,0,34
2 Yr M.Sc,0,35
2 Yr M.Sc,0,36
2 Yr M.Sc,0,37
2 Yr M.Sc,0,38
2 Yr M.Sc,0,39
2 Yr M.Sc,0,40
2 Yr M.Sc,0,41
2 Yr M.Sc,0,42
2 Yr M.Sc,0,43
2 Yr M.Sc,0,44
2 Yr M.Sc,0,45
2 Yr M.Sc,0,46
2 Yr M.Sc,0,47
2 Yr M.Sc,0,48
2 Yr M.Sc,0,49
2 Yr M.Sc,0,50
2 Yr M.Sc,0,51
2 Yr M.Sc,0,52
2 Yr M.Sc,0,53
2 Yr M.Sc,0,55
2 Yr M.Sc,0,56
2 Yr M.Sc,0,57
2 Yr M.Sc,0,58
2 Yr M.Sc,0,59
2 Yr M.Sc,0,60
2 Yr M.Sc,0,61
2 Yr M.Sc,0,63
2 Yr M.Sc,0,64
5 Year Integrated M.Sc.,0,15
5 Year Integrated M.Sc.,0,16
5 Year Integrated M.Sc.,0,17
5 Year Integrated M.Sc.,0,18
5 Year Integrated M.Sc.,3,19
5 Year Integrated M.Sc.,6,20
5 Year Integrated M.Sc.,25,21
5 Year Integrated M.Sc.,18,22
5 Year Integrated M.Sc.,12,23
5 Year Integrated M.Sc.,3,24
5 Year Integrated M.Sc.,0,25
5 Year Integrated M.Sc.,0,26
5 Year Integrated M.Sc.,0,27
5 Year Integrated M.Sc.,0,28
5 Year Integrated M.Sc.,0,29
5 Year Integrated M.Sc.,0,30
5 Year Integrated M.Sc.,0,31
5 Year Integrated M.Sc.,0,32
5 Year Integrated M.Sc.,0,33
5 Year Integrated M.Sc.,0,34
5 Year Integrated M.Sc.,0,35
5 Year Integrated M.Sc.,0,36
5 Year Integrated M.Sc.,0,37
5 Year Integrated M.Sc.,0,38
5 Year Integrated M.Sc.,0,39
5 Year Integrated M.Sc.,0,40
5 Year Integrated M.Sc.,0,41
5 Year Integrated M.Sc.,0,42
5 Year Integrated M.Sc.,0,43
5 Year Integrated M.Sc.,0,44
5 Year Integrated M.Sc.,0,45
5 Year Integrated M.Sc.,0,46
5 Year Integrated M.Sc.,0,47
5 Year Integrated M.Sc.,0,48
